model,partition,n_samples,precision,recall,f1,fpr
before,legacy_test,15268,0.9797077359927973,0.9895075545607163,0.9845832608317383,0.301440329218107
before,llm_holdout_remainder,72,1.0,0.9166666666666666,0.9565217391304348,
after,legacy_test,15268,0.9790931118033922,0.9892977056519306,0.9841689572387878,0.31069958847736623
after,llm_holdout_remainder,72,1.0,1.0,1.0,
